X,Y,jurisdiction,platformtype,platformid,sourcerecord,objectid,operator,platformname
-9810059.7366,3537658.9794,Alabama,Template,1,Alabama Oil and Gas Board,1,ExxonMobil Production,75F
-9801162.4406,3541714.81,Alabama,Platform,2,Alabama Oil and Gas Board,2,ExxonMobil Production,A-Deck
-9801102.2468,3541653.6255,Alabama,Template,3,Alabama Oil and Gas Board,3,ExxonMobil Production,AA
-9795624.9893,3541129.2575,Alabama,Template,4,Alabama Oil and Gas Board,4,ExxonMobil Production,AB
-9793722.8105,3541121.9911,Alabama,Template,5,Alabama Oil and Gas Board,5,ExxonMobil Production,AD
-9797333.8428,3541186.6502,Alabama,Template,6,Alabama Oil and Gas Board,6,ExxonMobil Production,AC
-9809574.05,3527865.912,Alabama,Platform,7,Alabama Oil and Gas Board,7,ExxonMobil Production,B-Deck
-9798812.6222,3537246.9397,Alabama,Platform,8,Alabama Oil and Gas Board,8,ExxonMobil Production,77B
-9801932.1544,3536369.0271,Alabama,Platform,9,Alabama Oil and Gas Board,9,ExxonMobil Production,76AUX
-9801935.4937,3536267.1444,Alabama,Platform,10,Alabama Oil and Gas Board,10,ExxonMobil Production,76A
-9797967.8564,3534546.7849,Alabama,Platform,11,Alabama Oil and Gas Board,11,ExxonMobil Production,95E
-9803500.4327,3537596.2239,Alabama,Platform,12,Alabama Oil and Gas Board,12,ExxonMobil Production,76D
-9801374.2898,3541591.8891,Alabama,Platform,13,Alabama Oil and Gas Board,13,Legacy,62C
-9803701.0783,3540501.012,Alabama,Caisson,14,Alabama Oil and Gas Board,14,Legacy,EHP-1
-9801766.937,3542922.2481,Alabama,Caisson,15,Alabama Oil and Gas Board,15,Legacy,ECP-1
-9792564.3078,3539633.6517,Alabama,Platform,16,Alabama Oil and Gas Board,16,Legacy,78A
-9790385.3997,3543750.4447,Alabama,Caisson,17,Alabama Oil and Gas Board,17,Legacy,SB-6
-9791147.36,3540635.1075,Alabama,Caisson,18,Alabama Oil and Gas Board,18,Legacy,SB-2
-9793196.8415,3537890.1078,Alabama,Caisson,19,Alabama Oil and Gas Board,19,Legacy,SB-4
-9813047.7685,3529312.6401,Alabama,Template,20,Alabama Oil and Gas Board,20,ExxonMobil Production,BD
-9810236.525,3529436.5845,Alabama,Template,21,Alabama Oil and Gas Board,21,ExxonMobil Production,BE
