date,metro,regular,mid,premium,diesel,met,lat,lng
2022-01-21,Bradenton-Sarasota-Venice,3.236,3.625,3.915,3.563,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-01-27,Bradenton-Sarasota-Venice,3.348,3.709,4.003,3.711,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-01-28,Bradenton-Sarasota-Venice,3.351,3.731,4.006,3.716,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-02-28,Bradenton-Sarasota-Venice,3.502,3.862,4.164,3.933,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-01,Bradenton-Sarasota-Venice,3.502,3.862,4.164,3.933,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-06,Bradenton-Sarasota-Venice,3.95,4.228,4.525,4.526,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-07,Bradenton-Sarasota-Venice,4.005,4.292,4.603,4.559,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-07,Bradenton-Sarasota-Venice,3.95,4.228,4.525,4.526,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-08,Bradenton-Sarasota-Venice,4.005,4.292,4.603,4.559,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-15,Bradenton-Sarasota-Venice,4.326,4.706,4.987,5.049,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-21,Bradenton-Sarasota-Venice,4.148,4.573,4.855,4.982,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-22,Bradenton-Sarasota-Venice,4.119,4.547,4.827,4.969,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-25,Bradenton-Sarasota-Venice,4.099,4.525,4.804,5.008,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-03-31,Bradenton-Sarasota-Venice,4.197,4.599,4.889,5.189,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-04-01,Bradenton-Sarasota-Venice,4.195,4.601,4.87,5.189,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-04-07,Bradenton-Sarasota-Venice,4.139,4.561,4.841,5.13,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-04-12,Bradenton-Sarasota-Venice,4.071,4.497,4.781,5.067,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-04-13,Bradenton-Sarasota-Venice,4.058,4.485,4.769,5.047,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-04-14,Bradenton-Sarasota-Venice,4.032,4.473,4.757,5.025,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-04-18,Bradenton-Sarasota-Venice,4.009,4.417,4.725,5.019,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-04-19,Bradenton-Sarasota-Venice,4.075,4.472,4.778,5.054,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-04,Bradenton-Sarasota-Venice,4.172,4.574,4.855,5.598,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-10,Bradenton-Sarasota-Venice,4.261,4.632,4.922,5.638,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-11,Bradenton-Sarasota-Venice,4.308,4.663,4.964,5.637,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-18,Bradenton-Sarasota-Venice,4.499,4.881,5.164,5.6,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-22,Bradenton-Sarasota-Venice,4.476,4.856,5.16,5.551,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-24,Bradenton-Sarasota-Venice,4.532,4.924,5.202,5.544,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-25,Bradenton-Sarasota-Venice,4.582,4.954,5.243,5.535,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-28,Bradenton-Sarasota-Venice,4.58,4.959,5.251,5.502,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-29,Bradenton-Sarasota-Venice,4.578,4.957,5.246,5.505,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-30,Bradenton-Sarasota-Venice,4.576,4.943,5.243,5.504,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-30,Bradenton-Sarasota-Venice,4.578,4.957,5.246,5.505,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-05-31,Bradenton-Sarasota-Venice,4.572,4.947,5.243,5.499,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-02,Bradenton-Sarasota-Venice,4.744,5.091,5.383,5.511,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-05,Bradenton-Sarasota-Venice,4.767,5.129,5.427,5.521,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-06,Bradenton-Sarasota-Venice,4.764,5.133,5.428,5.523,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-08,Bradenton-Sarasota-Venice,4.764,5.139,5.438,5.653,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-09,Bradenton-Sarasota-Venice,4.763,5.142,5.442,5.671,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-18,Bradenton-Sarasota-Venice,4.841,5.228,5.52,5.67,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-19,Bradenton-Sarasota-Venice,4.829,5.221,5.52,5.662,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-20,Bradenton-Sarasota-Venice,4.829,5.221,5.52,5.662,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-22,Bradenton-Sarasota-Venice,4.772,5.173,5.466,5.645,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-23,Bradenton-Sarasota-Venice,4.744,5.158,5.455,5.633,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-24,Bradenton-Sarasota-Venice,4.716,5.128,5.403,5.622,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-25,Bradenton-Sarasota-Venice,4.686,5.088,5.393,5.612,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-26,Bradenton-Sarasota-Venice,4.667,5.095,5.377,5.613,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-26,Bradenton-Sarasota-Venice,4.686,5.088,5.393,5.612,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-27,Bradenton-Sarasota-Venice,4.667,5.095,5.377,5.613,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-28,Bradenton-Sarasota-Venice,4.626,5.032,5.347,5.599,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-29,Bradenton-Sarasota-Venice,4.599,5.007,5.316,5.59,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-06-30,Bradenton-Sarasota-Venice,4.584,5.0,5.306,5.577,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-07-01,Bradenton-Sarasota-Venice,4.56,4.986,5.275,5.571,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-07-02,Bradenton-Sarasota-Venice,4.536,4.944,5.271,5.557,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-07-03,Bradenton-Sarasota-Venice,4.527,4.938,5.252,5.549,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-07-09,Bradenton-Sarasota-Venice,4.377,4.811,5.112,5.46,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-07-10,Bradenton-Sarasota-Venice,4.364,4.785,5.088,5.443,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-07-25,Bradenton-Sarasota-Venice,4.075,4.509,4.793,5.212,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-07-31,Bradenton-Sarasota-Venice,3.905,4.354,4.652,5.061,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-08-01,Bradenton-Sarasota-Venice,3.894,4.318,4.629,5.056,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-15,Bradenton-Sarasota-Venice,3.398,3.809,4.12,4.707,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-16,Bradenton-Sarasota-Venice,3.401,3.803,4.081,4.718,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-20,Bradenton-Sarasota-Venice,3.376,3.77,4.098,4.701,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-21,Bradenton-Sarasota-Venice,3.364,3.766,4.075,4.696,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-22,Bradenton-Sarasota-Venice,3.348,3.755,4.073,4.688,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-22,Bradenton-Sarasota-Venice,3.34,3.744,4.048,4.68,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-23,Bradenton-Sarasota-Venice,3.337,3.748,4.028,4.67,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-25,Bradenton-Sarasota-Venice,3.338,3.738,4.07,4.652,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-26,Bradenton-Sarasota-Venice,3.338,3.738,4.07,4.652,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-26,Bradenton-Sarasota-Venice,3.341,3.727,4.07,4.641,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-27,Bradenton-Sarasota-Venice,3.341,3.727,4.07,4.641,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-09-27,Bradenton-Sarasota-Venice,3.36,3.752,4.088,4.643,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-10-01,Bradenton-Sarasota-Venice,3.347,3.739,4.037,4.626,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-10-02,Bradenton-Sarasota-Venice,3.253,3.62,3.926,4.636,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-10-03,Bradenton-Sarasota-Venice,3.22,3.597,3.892,4.646,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-10-04,Bradenton-Sarasota-Venice,3.198,3.579,3.879,4.637,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-10-29,Bradenton-Sarasota-Venice,3.305,3.701,3.993,5.237,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-03,Bradenton-Sarasota-Venice,3.463,3.823,4.149,5.248,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-04,Bradenton-Sarasota-Venice,3.478,3.844,4.137,5.249,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-05,Bradenton-Sarasota-Venice,3.481,3.847,4.165,5.244,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-09,Bradenton-Sarasota-Venice,3.579,3.941,4.253,5.239,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-10,Bradenton-Sarasota-Venice,3.591,3.973,4.273,5.234,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-14,Bradenton-Sarasota-Venice,3.555,3.933,4.243,5.219,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-19,Bradenton-Sarasota-Venice,3.473,3.863,4.179,5.154,North Port-Bradenton-Sarasota,27.3479,-82.3223
2022-11-20,Bradenton-Sarasota-Venice,3.461,3.834,4.153,5.139,North Port-Bradenton-Sarasota,27.3479,-82.3223
