metro_fips,metro,metro_ascii,metro_full,county_name,county_fips,state_id,state_name,lat_x,lng_x,population,met,lat_y,lng_y
35620,New York,New York,"New York-Newark-Jersey City, NY-NJ",Suffolk,36103,NY,New York,40.7222,-74.0225,19940274,New York,,
31080,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,6037,CA,California,34.2215,-118.1494,12927614,Los Angeles,,
16980,Chicago,Chicago,"Chicago-Naperville-Elgin, IL-IN",Cook,17031,IL,Illinois,41.6675,-87.9597,9406924,Chicago,,
19100,Dallas,Dallas,"Dallas-Fort Worth-Arlington, TX",Denton,48121,TX,Texas,32.8495,-96.9704,8344032,Dallas,,
26420,Houston,Houston,"Houston-Pasadena-The Woodlands, TX",Harris,48201,TX,Texas,29.8422,-95.3855,7796182,Houston,,
33100,Miami,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",Palm Beach,12099,FL,Florida,26.1573,-80.5059,6457988,Miami-Fort Lauderdale-West Palm Beach,26.1573,-80.5059
47900,Washington,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Frederick,24021,DC,District of Columbia,38.8446,-77.5092,6437907,Washington,,
12060,Atlanta,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",Fulton,13121,GA,Georgia,33.7338,-84.3922,6409047,Atlanta,,
37980,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington,34005,PA,Pennsylvania,39.9056,-75.302,6330422,Philadelphia,,
38060,Phoenix,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa,4013,AZ,Arizona,33.1859,-112.0707,5186958,Phoenix,,
14460,Boston,Boston,"Boston-Cambridge-Newton, MA-NH",Middlesex,25017,MA,Massachusetts,42.5584,-71.1007,5025517,Boston,,
40140,Riverside,Riverside,"Riverside-San Bernardino-Ontario, CA",San Bernardino,6071,CA,California,34.5517,-116.1297,4744214,Riverside,,
41860,San Francisco,San Francisco,"San Francisco-Oakland-Fremont, CA",Contra Costa,6013,CA,California,37.7809,-122.1668,4648486,San Francisco,,
19820,Detroit,Detroit,"Detroit-Warren-Dearborn, MI",Oakland,26125,MI,Michigan,42.7196,-83.2329,4400578,Detroit,,
42660,Seattle,Seattle,"Seattle-Tacoma-Bellevue, WA",King,53033,WA,Washington,47.5574,-121.8506,4145494,Seattle,,
33460,Minneapolis,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",St. Croix,55109,MN,Minnesota,45.1034,-93.2753,3757952,Minneapolis,,
45300,Tampa,Tampa,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough,12057,FL,Florida,28.1538,-82.405,3424560,Tampa-St. Petersburg-Clearwater,28.1538,-82.405
41740,San Diego,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego,6073,CA,California,33.0343,-116.735,3298799,San Diego,,
19740,Denver,Denver,"Denver-Aurora-Centennial, CO",Park,8093,CO,Colorado,39.4337,-104.8944,3050512,Denver,,
36740,Orlando,Orlando,"Orlando-Kissimmee-Sanford, FL",Osceola,12097,FL,Florida,28.4343,-81.363,2940513,Orlando-Kissimmee-Sanford,28.4343,-81.363
16740,Charlotte,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",York,45091,NC,North Carolina,35.1686,-80.7954,2883370,Charlotte,,
12580,Baltimore,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore,24005,MD,Maryland,39.3386,-76.5807,2859024,Baltimore,,
41180,"St. Louis, MO","St. Louis, MO","St. Louis, MO-IL",Franklin,29071,MO,Missouri,38.7352,-90.3501,2809527,"St. Louis, MO",,
41700,San Antonio,San Antonio,"San Antonio-New Braunfels, TX",Medina,48325,TX,Texas,29.4287,-98.6023,2763006,San Antonio,,
12420,Austin,Austin,"Austin-Round Rock-San Marcos, TX",Williamson,48491,TX,Texas,30.2622,-97.6544,2550637,Austin,,
38900,Portland,Portland,"Portland-Vancouver-Hillsboro, OR-WA",Clackamas,41005,OR,Oregon,45.5984,-122.4783,2537070,Portland,,
40900,Sacramento,Sacramento,"Sacramento-Roseville-Folsom, CA",El Dorado,6017,CA,California,38.7805,-120.9972,2463127,Sacramento,,
38300,"Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",Westmoreland,42129,PA,Pennsylvania,40.4744,-79.8632,2429917,"Pittsburgh, PA",,
29820,Las Vegas,Las Vegas,"Las Vegas-Henderson-North Las Vegas, NV",Clark,32003,NV,Nevada,36.2152,-115.0135,2398871,Las Vegas,,
17140,"Cincinnati, OH","Cincinnati, OH","Cincinnati, OH-KY-IN",Brown,39015,OH,Ohio,39.0811,-84.4646,2304804,"Cincinnati, OH",,
28140,"Kansas City, MO","Kansas City, MO","Kansas City, MO-KS",Bates,29013,MO,Missouri,38.9371,-94.4444,2254288,"Kansas City, MO",,
18140,"Columbus, OH","Columbus, OH","Columbus, OH",Licking,39089,OH,Ohio,39.9681,-82.8369,2225377,"Columbus, OH",,
26900,Indianapolis,Indianapolis,"Indianapolis-Carmel-Greenwood, IN",Madison,18095,IN,Indiana,39.7929,-86.1216,2173288,Indianapolis,,
17410,"Cleveland, OH","Cleveland, OH","Cleveland, OH",Ashtabula,39007,OH,Ohio,41.462,-81.4392,2171877,"Cleveland, OH",,
