date,metro,regular,mid,premium,reg_delt
2022-01-28,Bradenton-Sarasota-Venice,3.351,3.731,4.006,
2022-01-28,Bradenton-Sarasota-Venice,3.351,3.731,4.006,0.0
2022-03-07,Bradenton-Sarasota-Venice,4.005,4.292,4.603,19.51656222023277
2022-03-07,Bradenton-Sarasota-Venice,4.005,4.292,4.603,0.0
2022-03-08,Bradenton-Sarasota-Venice,4.005,4.292,4.603,0.0
2022-03-08,Bradenton-Sarasota-Venice,4.005,4.292,4.603,0.0
2022-03-22,Bradenton-Sarasota-Venice,4.119,4.547,4.827,2.8464419475655367
2022-03-22,Bradenton-Sarasota-Venice,4.119,4.547,4.827,0.0
2022-04-01,Bradenton-Sarasota-Venice,4.195,4.601,4.87,1.8451080359310534
2022-04-01,Bradenton-Sarasota-Venice,4.195,4.601,4.87,0.0
2022-04-14,Bradenton-Sarasota-Venice,4.032,4.473,4.757,-3.8855780691299246
2022-04-19,Bradenton-Sarasota-Venice,4.075,4.472,4.778,1.0664682539682557
2022-05-11,Bradenton-Sarasota-Venice,4.308,4.663,4.964,5.717791411042938
2022-05-25,Bradenton-Sarasota-Venice,4.582,4.954,5.243,6.3602599814299055
2022-05-29,Bradenton-Sarasota-Venice,4.578,4.957,5.246,-0.08729812309034024
2022-05-31,Bradenton-Sarasota-Venice,4.572,4.947,5.243,-0.1310615989515096
2022-06-06,Bradenton-Sarasota-Venice,4.764,5.133,5.428,4.199475065616798
2022-06-09,Bradenton-Sarasota-Venice,4.763,5.142,5.442,-0.020990764063821832
2022-06-25,Bradenton-Sarasota-Venice,4.686,5.088,5.393,-1.61662817551963
2022-06-26,Bradenton-Sarasota-Venice,4.667,5.095,5.377,-0.40546308151941934
2022-06-27,Bradenton-Sarasota-Venice,4.667,5.095,5.377,0.0
2022-06-29,Bradenton-Sarasota-Venice,4.599,5.007,5.316,-1.4570387829440645
2022-06-30,Bradenton-Sarasota-Venice,4.584,5.0,5.306,-0.3261578604044524
2022-07-02,Bradenton-Sarasota-Venice,4.536,4.944,5.271,-1.0471204188481686
2022-07-10,Bradenton-Sarasota-Venice,4.364,4.785,5.088,-3.79188712522045
2022-08-01,Bradenton-Sarasota-Venice,3.894,4.318,4.629,-10.7699358386801
2022-09-22,Bradenton-Sarasota-Venice,3.348,3.755,4.073,-14.021571648690301
2022-09-23,Bradenton-Sarasota-Venice,3.337,3.748,4.028,-0.3285543608124164
2022-09-27,Bradenton-Sarasota-Venice,3.341,3.727,4.07,0.11986814504045817
2022-10-02,Bradenton-Sarasota-Venice,3.253,3.62,3.926,-2.6339419335528302
2022-10-03,Bradenton-Sarasota-Venice,3.22,3.597,3.892,-1.014448201660001
2022-10-04,Bradenton-Sarasota-Venice,3.198,3.579,3.879,-0.6832298136645987
