date,wayback_timestamp,metro,label,regular,mid,premium,diesel
2022-01-28,20220128192222,Bradenton-Sarasota-Venice,Current Avg.,3.351,3.731,4.006,3.716
2022-01-28,20220128192222,Bradenton-Sarasota-Venice,Yesterday Avg.,3.348,3.709,4.003,3.711
2022-01-28,20220128192222,Bradenton-Sarasota-Venice,Week Ago Avg.,3.236,3.625,3.915,3.563
2022-01-28,20220128192222,Bradenton-Sarasota-Venice,Month Ago Avg.,3.213,3.602,3.899,3.478
2022-01-28,20220128192222,Bradenton-Sarasota-Venice,Year Ago Avg.,2.366,2.726,3.014,2.617
2022-01-28,20220128192222,Crestview-Fort Walton Beach,Current Avg.,3.19,3.528,3.827,3.537
2022-01-28,20220128192222,Crestview-Fort Walton Beach,Yesterday Avg.,3.177,3.52,3.801,3.515
2022-01-28,20220128192222,Crestview-Fort Walton Beach,Week Ago Avg.,3.128,3.461,3.751,3.492
2022-01-28,20220128192222,Crestview-Fort Walton Beach,Month Ago Avg.,3.072,3.458,3.743,3.342
2022-01-28,20220128192222,Crestview-Fort Walton Beach,Year Ago Avg.,2.33,2.686,2.958,2.526
2022-01-28,20220128192222,Daytona Beach,Current Avg.,3.347,3.712,4.008,3.726
2022-01-28,20220128192222,Daytona Beach,Yesterday Avg.,3.341,3.718,4.008,3.713
2022-01-28,20220128192222,Daytona Beach,Week Ago Avg.,3.212,3.594,3.894,3.562
2022-01-28,20220128192222,Daytona Beach,Month Ago Avg.,3.231,3.608,3.931,3.512
2022-01-28,20220128192222,Daytona Beach,Year Ago Avg.,2.38,2.728,3.037,2.663
2022-01-28,20220128192222,Fort Lauderdale,Current Avg.,3.373,3.741,4.039,3.72
2022-01-28,20220128192222,Fort Lauderdale,Yesterday Avg.,3.364,3.725,4.029,3.71
2022-01-28,20220128192222,Fort Lauderdale,Week Ago Avg.,3.268,3.665,3.951,3.597
2022-01-28,20220128192222,Fort Lauderdale,Month Ago Avg.,3.284,3.674,3.974,3.548
2022-01-28,20220128192222,Fort Lauderdale,Year Ago Avg.,2.42,2.778,3.071,2.68
2022-01-28,20220128192222,Fort Myers-Cape Coral,Current Avg.,3.346,3.707,3.991,3.721
2022-01-28,20220128192222,Fort Myers-Cape Coral,Yesterday Avg.,3.337,3.694,3.98,3.706
2022-01-28,20220128192222,Fort Myers-Cape Coral,Week Ago Avg.,3.212,3.597,3.882,3.551
2022-01-28,20220128192222,Fort Myers-Cape Coral,Month Ago Avg.,3.208,3.594,3.882,3.475
2022-01-28,20220128192222,Fort Myers-Cape Coral,Year Ago Avg.,2.357,2.685,2.986,2.603
2022-01-28,20220128192222,Gainesville,Current Avg.,3.345,3.702,3.988,3.714
2022-01-28,20220128192222,Gainesville,Yesterday Avg.,3.337,3.685,4.023,3.706
2022-01-28,20220128192222,Gainesville,Week Ago Avg.,3.243,3.599,3.901,3.602
2022-01-28,20220128192222,Gainesville,Month Ago Avg.,3.203,3.548,3.903,3.554
2022-01-28,20220128192222,Gainesville,Year Ago Avg.,2.399,2.735,3.049,2.624
2022-01-28,20220128192222,Homosassa Springs,Current Avg.,3.35,3.667,3.967,3.754
2022-01-28,20220128192222,Homosassa Springs,Yesterday Avg.,3.346,3.665,3.97,3.728
2022-01-28,20220128192222,Homosassa Springs,Week Ago Avg.,3.199,3.554,3.873,3.577
2022-01-28,20220128192222,Homosassa Springs,Month Ago Avg.,3.24,3.589,3.895,3.531
2022-01-28,20220128192222,Homosassa Springs,Year Ago Avg.,2.392,2.712,3.001,2.671
2022-01-28,20220128192222,Jacksonville,Current Avg.,3.337,3.663,3.996,3.725
2022-01-28,20220128192222,Jacksonville,Yesterday Avg.,3.332,3.658,4.003,3.719
2022-01-28,20220128192222,Jacksonville,Week Ago Avg.,3.182,3.54,3.886,3.56
2022-01-28,20220128192222,Jacksonville,Month Ago Avg.,3.209,3.563,3.901,3.503
2022-01-28,20220128192222,Jacksonville,Year Ago Avg.,2.352,2.682,2.999,2.614
2022-01-28,20220128192222,Lakeland-Winter Haven,Current Avg.,3.352,3.708,3.997,3.75
2022-01-28,20220128192222,Lakeland-Winter Haven,Yesterday Avg.,3.347,3.693,3.99,3.735
2022-01-28,20220128192222,Lakeland-Winter Haven,Week Ago Avg.,3.199,3.561,3.85,3.586
2022-01-28,20220128192222,Lakeland-Winter Haven,Month Ago Avg.,3.201,3.565,3.876,3.521
2022-01-28,20220128192222,Lakeland-Winter Haven,Year Ago Avg.,2.383,2.718,3.036,2.676
2022-01-28,20220128192222,Melbourne-Titusville,Current Avg.,3.331,3.696,3.998,3.721
2022-01-28,20220128192222,Melbourne-Titusville,Yesterday Avg.,3.323,3.676,3.988,3.716
2022-01-28,20220128192222,Melbourne-Titusville,Week Ago Avg.,3.174,3.567,3.863,3.57
2022-01-28,20220128192222,Melbourne-Titusville,Month Ago Avg.,3.187,3.575,3.896,3.517
2022-01-28,20220128192222,Melbourne-Titusville,Year Ago Avg.,2.379,2.719,3.046,2.652
2022-01-28,20220128192222,Miami,Current Avg.,3.318,3.652,3.906,3.655
2022-01-28,20220128192222,Miami,Yesterday Avg.,3.306,3.642,3.906,3.647
2022-01-28,20220128192222,Miami,Week Ago Avg.,3.231,3.598,3.853,3.545
2022-01-28,20220128192222,Miami,Month Ago Avg.,3.248,3.602,3.868,3.499
2022-01-28,20220128192222,Miami,Year Ago Avg.,2.399,2.745,2.989,2.595
2022-01-28,20220128192222,Naples,Current Avg.,3.38,3.742,4.018,3.734
2022-01-28,20220128192222,Naples,Yesterday Avg.,3.373,3.748,4.044,3.723
2022-01-28,20220128192222,Naples,Week Ago Avg.,3.296,3.664,3.95,3.592
2022-01-28,20220128192222,Naples,Month Ago Avg.,3.315,3.678,3.986,3.552
2022-01-28,20220128192222,Naples,Year Ago Avg.,2.403,2.743,3.027,2.676
2022-01-28,20220128192222,Ocala,Current Avg.,3.364,3.721,3.983,3.747
2022-01-28,20220128192222,Ocala,Yesterday Avg.,3.357,3.704,4.022,3.732
2022-01-28,20220128192222,Ocala,Week Ago Avg.,3.21,3.576,3.864,3.598
2022-01-28,20220128192222,Ocala,Month Ago Avg.,3.191,3.532,3.865,3.532
2022-01-28,20220128192222,Ocala,Year Ago Avg.,2.397,2.74,3.049,2.688
2022-01-28,20220128192222,Orlando,Current Avg.,3.348,3.709,3.984,3.739
2022-01-28,20220128192222,Orlando,Yesterday Avg.,3.347,3.704,3.989,3.732
2022-01-28,20220128192222,Orlando,Week Ago Avg.,3.189,3.56,3.842,3.585
2022-01-28,20220128192222,Orlando,Month Ago Avg.,3.211,3.583,3.875,3.506
2022-01-28,20220128192222,Orlando,Year Ago Avg.,2.377,2.732,3.02,2.669
2022-01-28,20220128192222,Panama City,Current Avg.,3.211,3.557,3.891,3.487
2022-01-28,20220128192222,Panama City,Yesterday Avg.,3.192,3.559,3.86,3.482
2022-01-28,20220128192222,Panama City,Week Ago Avg.,3.151,3.499,3.805,3.417
2022-01-28,20220128192222,Panama City,Month Ago Avg.,3.137,3.474,3.8,3.348
